ID,w/b,s/b,Water,Cement,FlyAsh,Sand,Age,Diffusivity_mean,Diffusivity_std,Strength_mean,Strength_std
M60,0.60,2.9,279,372,93,1350,28,12.18,4.53,33.69,1.24
M50,0.50,2.6,260,415,104,1350,28,10.20,3.40,46.77,1.70
M45,0.45,2.3,264,470,117,1350,28,10.32,1.93,54.88,1.82
M40,0.40,2.0,270,540,135,1350,28,5.78,2.84,60.07,2.79
ISO-S-FA,0.50,3.0,225,360,90,1350,28,19.55,4.21,40.81,1.34
ISO-S,0.50,3.0,225,450,0,1350,28,30.46,6.12,57.61,1.57
M60,0.60,2.9,279,372,93,1350,90,6.12,1.48,48.77,6.17
M50,0.50,2.6,260,415,104,1350,90,5.45,1.02,65.92,3.34
M45,0.45,2.3,264,470,117,1350,90,4.84,0.98,70.26,5.52
M40,0.40,2.0,270,540,135,1350,90,2.77,1.26,81.07,0.00
ISO-S-FA,0.50,3.0,225,360,90,1350,90,10.21,1.05,55.78,3.61
ISO-S,0.50,3.0,225,450,0,1350,90,20.16,1.55,63.60,2.76
